Missile	Id	Vel	MaxVel	Accel	Range	LevRange	Light	Flicker	Red	Green	Blue	InitSteps	Activate	LoopAnim	CelFile	AnimLen	RandStart	SubLoop	SubStart	SubStop	CollideType	CollideKill	CollideFriend	LastCollide	Collision	ClientSend	NextHit	NextDelay	Size	CanDestroy	ToHit	AlwaysExplode	Explosion	NeverDup	ReturnFire	GetHit	KnockBack	Trans	Qty	Pierce	Param1	Param1 Comment	Param2	Param2 Comment	SpecialSetup	Open	Beta	Skill	HitShift	SrcDamage	MinDamage	MaxDamage	LevDamage	EType	EMin	Emax	ELevel	ELen	ELevelLen	HitClass	NumDirections	LocalBlood
CRArrow1	13	14	14	0	40	0	0	0	255	255	255	1	0	1	Arrow	1	0	0	0	0	3	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	none	0	none	0	1	1	0	8	0	1	3	3	0	0	0	0	0	0	10	32	0
CRArrow2	14	16	16	0	40	0	0	0	255	255	255	1	0	1	Arrow	1	0	0	0	0	3	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	none	0	none	0	1	1	0	8	0	1	4	4	0	0	0	0	0	0	10	32	0
CRArrow3	15	18	18	0	40	0	0	0	255	255	255	1	0	1	Arrow	1	0	0	0	0	3	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	none	0	none	0	1	1	0	8	0	2	4	4	0	0	0	0	0	0	10	32	0
CRArrow4	16	20	20	0	40	0	0	0	255	255	255	1	0	1	Arrow	1	0	0	0	0	3	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	none	0	none	0	1	1	0	8	0	2	5	4	0	0	0	0	0	0	10	32	0
CRArrow5	17	24	24	0	40	0	0	0	255	255	255	1	0	1	Arrow	1	0	0	0	0	3	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	none	0	none	0	1	1	0	8	0	3	8	5	0	0	0	0	0	0	10	32	0
Blood1	18	3	3	0	128	0	0	0	255	255	255	0	0	0	BloodSmall01	9	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	8	1
Blood2	19	4	4	0	128	0	0	0	255	255	255	0	0	0	BloodSmall02	9	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	8	1
BigBlood1	20	3	3	0	128	0	0	0	255	255	255	0	0	0	BloodLarge01	9	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	8	1
BigBlood2	21	4	4	0	128	0	0	0	255	255	255	0	0	0	BloodLarge02	9	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	8	1
ShaFire1	22	8	8	0	40	0	5	0	255	178	64	1	0	1	ShamanFireball	3	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	1	1	4	4	0	0	0	16	0
ShaFire2	23	10	10	0	40	0	5	0	255	178	64	1	0	1	ShamanFireball	3	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	1	2	6	4	0	0	0	16	0
ShaFire3	24	12	12	0	40	0	5	0	255	178	64	1	0	1	ShamanFireball	3	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	1	2	7	4	0	0	0	16	0
ShaFire4	25	16	16	0	40	0	5	0	255	178	64	1	0	1	ShamanFireball	3	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	1	2	8	4	0	0	0	16	0
ShaFire5	26	20	20	0	40	0	5	0	255	178	64	1	0	1	ShamanFireball	3	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	1	8	14	5	0	0	0	16	0
MagicArrow	27	24	24	0	40	0	3	0	255	255	255	1	0	1	SafeArrow	1	0	0	0	0	3	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	none	0	none	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	10	32	0
IceArrow	28	24	24	0	40	0	5	0	81	81	255	1	0	1	IceArrow	8	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	1	1	0	none	0	none	0	1	1	21	0	0	0	0	0	0	0	0	0	0	0	0	32	0
FireExplode	29	0	0	0	12	0	13	0	255	178	64	0	0	0	FireArrowExplode2	12	5	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
IceExplode	30	0	0	0	16	0	11	0	81	81	255	0	0	0	IceArrowExplode	16	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
Bolt	31	24	24	0	50	0	0	0	255	255	255	1	0	0	XBowBolt	1	0	0	0	0	3	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	none	0	none	0	1	1	0	8	2	0	0	0	0	0	0	0	0	0	10	32	0
Andrial	32	15	15	0	40	0	0	0	255	255	255	3	0	1	AndarielSpell	24	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	193	103	0	none	0	1	1	0	0	0	1792	2560	1280	5	32	64	32	400	0	0	1	0
BigHeadExp	33	0	0	0	6	0	8	0	143	143	255	0	0	0	BigheadLightningExplosion	7	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
ShamanExp	34	0	0	0	11	0	8	0	255	178	64	0	0	0	ShamanFireballExplodeFinal	12	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
ThrowAxe	35	24	24	0	20	0	0	0	255	255	255	1	0	1	MissileHandAxe	8	0	0	0	0	3	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	none	0	none	0	1	1	0	8	2	0	0	0	0	0	0	0	0	0	2	32	0
ThrowKnife	36	24	24	0	20	0	0	0	255	255	255	1	0	0	MissileDagger	1	0	0	0	0	3	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	none	0	none	0	1	1	0	8	2	0	0	0	0	0	0	0	0	0	6	32	0
Glaive	37	24	24	0	40	0	0	0	255	255	255	0	0	0	Glaive	1	0	0	0	0	3	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	none	0	none	0	1	1	0	8	2	0	0	0	0	0	0	0	0	0	6	32	0
PoisonJav	38	24	24	0	15	0	0	0	128	255	128	0	0	0	Javelin	1	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	none	0	none	0	1	1	15	0	0	0	0	0	0	0	0	0	0	0	6	32	0
PoisonJavCloud	39	0	0	0	60	0	0	0	128	255	128	0	0	1	PoisonSparks	31	0	1	10	19	3	0	0	1	1	1	0	0	2	1	0	0	0	0	0	0	0	1	0	1	2	"Slow drift speed, fourths."	4	"Fast drift speed, fourths."	0	1	1	15	0	-1	0	0	0	0	0	0	0	0	0	6	8	0
ColdArrow	40	24	24	0	20	0	5	0	81	81	255	1	0	1	IceArrow	8	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	1	1	0	none	0	none	0	1	1	11	0	0	0	0	0	0	0	0	0	0	0	0	32	0
ExplodingArrow	41	24	24	0	40	0	5	0	255	178	64	1	0	1	FireArrow	8	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	1	1	3	Radius	0	none	0	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	32	0
ExplodingArrowExplode	42	0	0	0	16	0	15	0	255	178	64	0	0	0	ExpArrowExplode	16	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
PlagueJavelin	43	24	24	0	15	0	4	0	128	255	128	0	0	0	Javelin	1	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	none	0	none	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	6	32	0
OilPotion	44	16	16	0	30	0	0	0	255	128	128	0	0	0	mslops	8	0	0	0	0	6	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	1	2	Radius	0	none	1	1	1	0	8	0	2	5	0	1	3	5	0	0	0	0	1	0
ExplosivePotion	45	16	16	0	30	0	0	0	255	128	128	0	0	0	mslopm	8	0	0	0	0	6	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	1	3	Radius	0	none	1	1	1	0	8	0	5	7	0	1	6	8	0	0	0	0	1	0
FulminatingPotion	46	16	16	0	30	0	0	0	255	128	128	0	0	0	mslopl	8	0	0	0	0	6	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	1	6	Radius	0	none	1	1	1	0	8	0	7	10	0	1	9	10	0	0	0	0	1	0
RancidGasPotion	47	16	16	0	30	0	0	0	128	255	128	0	0	0	mslgps	8	0	0	0	0	6	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	1	30	Poison Length	0	none	1	1	1	0	1	0	0	0	0	5	24	24	0	150	0	0	1	0
ChokingGasPotion	48	16	16	0	30	0	0	0	128	255	128	0	0	0	mslgpm	8	0	0	0	0	6	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	1	60	Poison Length	0	none	1	1	1	0	1	0	0	0	0	5	48	48	0	200	0	0	1	0
StranglingGasPotion	49	16	16	0	30	0	0	0	128	255	128	0	0	0	mslgpl	8	0	0	0	0	6	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	1	90	Poison Length	0	none	1	1	1	0	1	0	0	0	0	5	72	72	0	300	0	0	1	0
Not Used	50	0	0	0	0	0	0	0	255	255	255	0	0	0	null	2	0	0	0	0	3	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	acid (destroys AC or dur)	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
ExplosivePotionExp	51	0	0	0	12	0	13	0	255	178	64	0	0	0	PotionExplode	29	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	2	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
ExplosivePotionDebris1	52	0	0	0	0	0	0	0	255	255	255	0	0	0	PotionExplodeDebris01	29	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
ExplosivePotionDebris2	53	0	0	0	0	0	0	0	255	255	255	0	0	0	PotionExplodeDebris02	29	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
ExplosivePotionDebris3	54	0	0	0	0	0	0	0	255	255	255	0	0	0	PotionExplodeDebris03	29	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
HolyBolt	55	20	20	0	50	0	7	0	222	222	255	1	0	1	HolyBoltMissile	16	0	0	0	0	3	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	none	0	none	0	1	1	101	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ChargedBolt	56	12	12	0	98	0	3	1	255	255	255	1	0	1	ChargedBolt	10	0	1	2	8	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	4	Rand Light Radius Add	0	none	0	1	1	38	0	0	0	0	0	0	0	0	0	0	0	64	16	0
SanctuaryBolt	57	0	0	0	14	0	0	0	222	222	255	0	0	1	Gleam	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	none	0	none	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FireBolt	58	20	20	0	50	0	7	0	255	178	64	1	0	1	Firebolt	5	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	none	0	none	0	1	1	36	0	0	0	0	0	0	0	0	0	0	0	0	16	0
IceBolt	59	12	12	0	50	0	7	0	81	81	255	1	0	1	Icebolt	6	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	none	0	none	0	1	1	39	0	0	0	0	0	0	0	0	0	0	0	0	16	0
InfernoFlame1	60	12	12	0	30	0	5	0	255	178	64	1	0	0	Flamethrower	15	0	0	0	0	3	0	0	0	2	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	8	"Mana Use, 16ths."	7	Minimum range	0	1	1	41	0	0	0	0	0	0	0	0	0	0	0	32	1	0
InfernoFlame2	61	12	12	0	30	0	5	0	255	178	64	1	0	0	Flamethrower2	15	0	0	0	0	3	0	0	0	2	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	8	"Mana Use, 16ths."	7	Minimum range	0	1	1	41	0	0	0	0	0	0	0	0	0	0	0	32	1	0
FireBall	62	20	20	0	50	0	7	0	255	178	64	1	0	1	Fireball	5	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	3	Radius	0	none	0	1	1	47	0	0	0	0	0	0	0	0	0	0	0	0	16	0
Mummy1	63	5	5	0	24	0	0	0	255	255	255	0	0	0	GreaterMummyBreath	24	0	0	0	0	3	0	0	1	1	0	0	0	2	1	0	0	0	0	0	1	0	1	0	1	0	Client No Velocity	0	none	0	1	1	0	1	0	0	0	0	5	9	9	3	100	0	0	8	0
Mummy2	64	5	5	0	24	0	0	0	255	255	255	0	0	0	GreaterMummyBreath	24	0	0	0	0	3	0	0	1	1	0	0	0	2	1	0	0	0	0	0	1	0	1	0	1	0	Client No Velocity	0	none	0	1	1	0	1	0	0	0	0	5	9	9	3	200	0	0	8	0
Mummy3	65	5	5	0	24	0	0	0	255	255	255	0	0	0	GreaterMummyBreath	24	0	0	0	0	3	0	0	1	1	0	0	0	2	1	0	0	0	0	0	1	0	1	0	1	0	Client No Velocity	0	none	0	1	1	0	1	0	0	0	0	5	9	9	4	300	0	0	8	0
Mummy4	66	5	5	0	24	0	0	0	255	255	255	0	0	0	GreaterMummyBreath	24	0	0	0	0	3	0	0	1	1	0	0	0	2	1	0	0	0	0	0	1	0	1	0	1	0	Client No Velocity	0	none	0	1	1	0	1	0	0	0	0	5	9	9	4	400	0	0	8	0
Blaze	67	0	0	0	90	25	5	1	255	178	64	0	0	1	groundFireBig	37	0	1	12	36	3	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	4	Rand Light Radius Add	0	none	0	1	1	46	0	0	0	0	0	0	0	0	0	0	0	32	1	0
FirewallMaker	68	12	12	0	7	2	8	0	255	178	64	0	0	1	groundFireBig	2	0	1	1	2	8	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	none	0	none	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	32	1	0
Firewall	69	0	0	0	90	25	5	1	255	178	64	0	0	1	groundFireBig	37	0	1	12	36	3	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	4	Rand Light Radius Add	0	none	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	32	1	0
GooSpit1	70	10	10	0	24	0	0	0	255	255	255	3	0	0	SandMaggotGooSpit	24	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	Client No Velocity	0	none	0	1	1	0	1	0	1	3	3	5	4	4	3	200	0	176	16	0
GooSpit2	71	10	10	0	24	0	0	0	255	255	255	3	0	0	SandMaggotGooSpit	24	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	Client No Velocity	0	none	0	1	1	0	1	0	2	3	3	5	5	5	3	300	0	176	16	0
GooSpit3	72	10	10	0	24	0	0	0	255	255	255	3	0	0	SandMaggotGooSpit	24	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	Client No Velocity	0	none	0	1	1	0	1	0	2	4	3	5	6	6	3	400	0	176	16	0
GooSpit4	73	10	10	0	24	0	0	0	255	255	255	3	0	0	SandMaggotGooSpit	24	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	Client No Velocity	0	none	0	1	1	0	1	0	2	5	4	5	7	7	3	500	0	176	16	0
GooSpit5	74	10	10	0	24	0	0	0	255	255	255	3	0	0	SandMaggotGooSpit	24	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	Client No Velocity	0	none	0	1	1	0	1	0	3	5	4	5	8	8	3	600	0	176	16	0
GooSplat	75	0	0	0	15	0	0	0	255	255	255	0	0	0	GooHit	15	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
Sand Pile	76	0	0	0	128	0	0	0	255	255	255	0	0	0	SandMaggotSandPile	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	Client No Velocity	0	none	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	8	0
UnHolyBolt1	77	12	12	0	40	0	5	0	0	0	0	1	0	1	UnholyBolt	16	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	2	0	1	0	none	0	none	0	0	0	0	8	0	3	6	4	0	0	0	0	0	0	0	1	0
UnHolyBolt2	78	12	12	0	40	0	5	0	0	0	0	1	0	1	UnholyBolt	16	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	2	0	1	0	none	0	none	0	0	0	0	8	0	3	7	4	0	0	0	0	0	0	0	1	0
UnHolyBolt3	79	12	12	0	40	0	5	0	0	0	0	1	0	1	UnholyBolt	16	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	2	0	1	0	none	0	none	0	0	0	0	8	0	4	8	4	0	0	0	0	0	0	0	1	0
UnHolyBolt4	80	12	12	0	40	0	5	0	0	0	0	1	0	1	UnholyBolt	16	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	2	0	1	0	none	0	none	0	0	0	0	8	0	4	9	4	0	0	0	0	0	0	0	1	0
SanctuaryCenter	81	0	0	0	125	0	0	0	0	0	0	0	0	1	sanctuary	40	0	1	10	30	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	none	0	none	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FireExplosion	82	0	0	0	15	0	0	0	255	178	64	0	0	0	FireArrowExplode2	12	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	2	1	0	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	1	8	16	2	0	0	0	1	0
StuckArrow	83	1	1	0	128	0	0	0	0	0	0	0	0	0	ArrowInGround	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	none	0	none	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	32	0
FootPrint	84	0	0	0	128	0	0	0	0	0	0	0	0	0	Footsteps01	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	none	0	none	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	32	0
ImmolationArrow	85	24	24	0	40	0	9	0	255	178	64	1	0	1	FireArrow	8	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	1	1	3	Radius	0	none	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	10	32	0
GuidedArrow	86	24	24	0	128	0	3	0	255	255	255	1	0	1	SafeArrow	1	0	0	0	0	3	1	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0	none	0	none	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	10	32	0
FreezingArrow	87	24	24	0	40	0	5	0	81	81	255	1	0	1	IceArrow	8	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	1	1	0	none	0	none	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	32	0
FreezingArrowExplode1	88	0	0	0	16	0	11	0	81	81	255	0	0	0	FreezeExplodeCenter	15	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
FreezingArrowExplode2	89	0	0	0	16	0	0	0	81	81	255	0	0	0	FreezeExplodeEjecta	15	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	none	0	none	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	8	0
Nova	90	24	24	-1000	13	0	0	0	255	255	255	0	0	0	ElectricNova	13	0	0	0	0	3	0	0	1	1	0	1	4	1	1	0	0	0	0	1	1	0	1	0	1	0	none	0	none	0	0	1	48	0	0	0	0	0	0	0	0	0	0	0	64	16	0
IceBlast	91	12	12	0	50	0	7	0	81	81	255	1	0	1	IceBlast	5	0	0	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	4	Radius	0	none	0	1	1	45	0	0	0	0	0	0	0	0	0	0	0	0	16	0
BlessedHammer	92	18	30	250	120	0	5	0	222	222	255	6	0	1	blessedhammer	6	0	0	0	0	3	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	none	0	none	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	16	0
ChainLightning	93	30	30	0	25	0	4	0	255	255	255	0	0	1	LightningStrike	8	0	0	0	0	3	1	0	1	1	0	1	4	2	1	0	0	0	0	1	1	0	1	0	0	0	none	0	none	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	64	32	0
FistOfAres	94	12	12	0	128	0	3	0	255	255	255	0	0	1	FOAorbiter	9	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	none	0	none	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
