name	type	code	alternateGfx	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	sound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Wand	wand	wnd	wnd	0		2	1	2	4									100				15		2	0	205	3910			wnd	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd	invwndu	invwndu			0	magically charged	0	30	0	0	5	0	0	0	0	0	7	0	0	5	0	0	0	0	255	0	0	0	0	255	4	6	7	9	1	0	0	0	0	255	0	0	0	0	255	0	0	1	2	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	ywn	bwn	1	0
Yew Wand	wand	ywn	ywn	0		3	1	2	8								10	100				15		12	0	745	17440			wnd	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn					0	magically charged	0	30	0	0	5	0	0	0	0	0	7	0	0	5	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	3	5	5	9	1	0	0	0	0	255	0	0	0	0	255	2	3	2	3	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	bwn	gwn	1	0
Bone Wand	wand	bwn	bwn	0		4	1	3	7								-20	100				15		18	0	1296	34828			wnd	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu			0	magically charged	0	30	0	0	5	0	0	0	0	0	7	0	0	5	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	3	1	3	1	0	0	0	0	255	0	0	0	0	255	3	5	5	7	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	3	4	2	3	20	0	0	0	0	255	0	0	0	0	255	3	4	2	3	20			1	2	0	xxx	xxx	1	0
Grim Wand	wand	gwn	bwn	0		5	1	5	11									100				15		26	0	2098	70048			wnd	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn					0	magically charged	0	30	0	0	5	0	0	0	0	0	7	0	0	5	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	1	2	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	1	3	1	2	20	0	0	0	0	255	0	0	0	0	255	1	3	1	2	20			1	2	0	xxx	xxx	1	0
Club	club	clb	clb	0		1	1	1	6								-10	100				24		1	0	32	3032			clb	clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	2	0		0	28	0	0	5	0	0	0	0	0	7	0	0	1	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	2	0	mac	mst	1	0
Scepter	scep	scp	mac	0		1	1	6	11									100		25		50		3	0	350	5050			mac	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	2	0	magically charged	0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	2	4	2	4	1	0	0	0	0	255	0	0	0	0	255	2	3	3	5	1	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20			2	2	0	gsc	wsp	1	0
Grand Scepter	scep	gsc	mac	0		3	1	8	18							1	10	100		37		60		15	0	1109	26635			mac	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	3	1	3	1	0	0	0	0	255	0	0	0	0	255	3	5	3	5	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	1	2	1	1	20	0	0	0	0	255	0	0	0	0	255	2	3	1	2	20			2	2	0	xxx	wsp	1	0
War Scepter	scep	wsp	whm	0		4	1	10	17							1	-10	100		55		70		21	0	2323	61783			mac	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	5	0	magically charged	0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	3	1	3	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	1	2	1	2	20	0	0	0	0	255	0	0	0	0	255	1	2	1	1	20			2	2	0	xxx	xxx	1	0
Spiked Club	club	spc	clb	0		1	1	5	8							1		100				36		4	0	225	5400			clb	spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	2	0		0	28	0	0	5	0	0	0	0	0	7	0	0	1	0	1	0	1	1	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	mac	mst	1	0
Mace	mace	mac	mac	0		1	1	3	10									100		27		60		8	0	463	10204			mac	mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	2	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	1	0	1	1	1	1	1	1	20	0	0	0	0	255	0	1	0	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	mst	mau	1	0
Morning Star	mace	mst	mac	0		1	1	7	16							1	10	100		36		72		13	0	844	19972			mac	mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	fla	1	0
Flail	mace	fla	fla	0		1	1	1	24							2	-10	100		41	35	30		19	0	1412	38828			mac	fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	5	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	gma	1	0
War Hammer	hamm	whm	whm	0		4	1	19	29								20	110		53		55		25	0	2081	67025			mac	whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	4	0		0	29	0	0	5	0	0	0	0	178	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	mau	gma	1	0
Maul	hamm	mau	mau	0		1	1				1	30	43			1	10	110		69		60		21	0	1670	48070			mau	mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau	invmauu	invmauu	1	6	0		0	16	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	mau	1	0
Great Maul	hamm	gma	mau	0		1	1				1	38	58			2	20	110		99		60		32	0	3215	121380			mau	gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	invgma	invgma	1	6	0		0	16	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	0	0	1	1	20	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx	1	0
Short Sword	swor	ssd	ssd	0		1	1	2	7									100				24		1	0	72	3072			ssd	ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	2	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	1	1	0	1	1	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	scm	wsd	1	0
Scimitar	swor	scm	scm	0		1	1	2	6								-20	100			21	22		5	0	274	6370			scm	scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	2	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	1	1	1	1	1	1	1	1	1	20	0	0	0	0	255	0	1	0	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	sbr	lsd	1	0
Saber	swor	sbr	scm	0		1	1	3	8								-10	100		25	25	32		8	0	466	10228			scm	sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	inv9sbu	inv9sbu	1	2	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	1	0	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	flc	bsd	1	0
Falchion	swor	flc	flc	0		2	1	9	17								20	100		33		32		11	0	683	15513			scm	flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc	invflcu	invflcu	1	2	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	bsd	wsd	1	0
Crystal Sword	swor	crs	crs	0		4	1	5	15							1		100		43		20		11	0	2127	31397			ssd	crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	invcrsu	invcrsu	1	6	0		0	29	0	0	5	0	5	0	0	0	7	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	1	1	20	0	0	1	1	20	0	0	0	0	255	0	0	0	0	255			1	8	0	xxx	xxx	1	0
Broad Sword	swor	bsd	bsd	0		1	1	7	14									100		48		32		15	0	1029	25435			ssd	bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd	invbsdu	invbsdu	1	4	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	2	20	0	0	0	0	255	0	0	0	0	255	0	0	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	lsd	wsd	1	0
Long Sword 	swor	lsd	lsd	0		1	1	3	19							1	-10	100		55	39	44		20	0	1520	42900			ssd	lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	invlsdu	invlsdu	1	4	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	1	2	20	0	0	0	0	255	0	0	0	0	255	1	1	1	2	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	2	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	wsd	wsd	1	0
War Sword	swor	wsd	flc	0		1	1	8	20							1		100		71	45	44		27	0	1997	69919			ssd	wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	2	1	3	20	0	0	0	0	255	1	1	1	3	20	0	0	0	0	255	0	0	1	2	20			1	2	0	xxx	xxx	1	0
Two-Handed Sword	swor	2hs	clm	0		1	1	2	9	1	1	8	17			2		100		35	27	44		10	0	644	13940			clm	2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	3	0		0	16	0	0	5	0	0	0	0	0	7	0	0	3	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	clm	gis	1	0
Claymore	swor	clm	clm	0		2	1	5	12	1	1	13	30			2	10	100		47		50		17	0	1262	32454			clm	clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	16	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	2	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	gis	bsw	1	0
Giant Sword	swor	gis	gsd	0		2	1	3	16	1	1	9	28			2		100		56	34	50		21	0	1459	43639			clm	gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	16	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	1	2	20	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	bsw	flb	1	0
Bastard Sword	swor	bsw	clm	0		1	1	7	19	1	1	20	28			1	10	100		62		40		24	0	1971	61804			clm	bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	16	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	1	1	20	0	0	0	0	255	0	1	1	1	20	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx	1	0
