Class	namco	Type	Descriptor	BaseId	Spawned	Beta	Code	ClientOnly	NoMap	SizeX	SizeY	Height	OverlayHeight	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MeleeRng	MinGrp	MaxGrp	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	SpawnComponents	BaseW	AIParam1	Comment	AIParam2	Comment	AIParam3	Comment	AIParam4	Comment	AIParam5	Comment	ModeDH	ModeN	ModeW	ModeGH	ModeA1	ModeA2	ModeB	ModeC	ModeS1	ModeS2	ModeS3	ModeS4	ModeDD	ModeKB	ModeSQ	ModeRN	ElMode	ElType	ElOver	ElPct	ElMinD	ElMaxD	ElDur	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	A1Move	A2Move	S1Move	S2Move	S3Move	S4Move	Cmove	Align	IsMelee	IsSel	IsSel2	NeverSel	CorpseSel	IsAtt	IsNPC	IsCritter	InTown	Bleed	Shadow	Light	NoUniqueShift	CompositeDeath	Skill1	Skill1Seq	Skill1Lvl	Skill2	Skill2Seq	Skill2Lvl	Skill3	Skill3Seq	Skill3Lvl	Skill4	Skill4Seq	Skill4Lvl	Skill5	Skill5Seq	Skill5Lvl	LightR	LightG	LightB	DamageResist	MagicResist	FireResist	LightResist	ColdResist	PoisonResist	DamageResist(N)	MagicResist(N)	FireResist(N)	LightResist(N)	ColdResist(N)	PoisonResist(N)	DamageResist(H)	MagicResist(H)	FireResist(H)	LightResist(H)	ColdResist(H)	PoisonResist(H)	DamageRegen	eLUndead	eHUndead	eDemon	eMagicUsing	eLarge	eSmall	eFlying	eOpenDoors	eSpawnCol	eBoss	PixHeight	Interact	MinHP	MaxHP	AC	Exp	ToBlock	A1MinD	A1MaxD	A1ToHit	A2MinD	A2MaxD	A2ToHit	S1MinD	S1MaxD	S1ToHit	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1ToHit(N)	A2MinD(N)	A2MaxD(N)	A2ToHit(N)	S1MinD(N)	S1MaxD(N)	S1ToHit(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1ToHit(H)	A2MinD(H)	A2MaxD(H)	A2ToHit(H)	S1MinD(H)	S1MaxD(H)	S1ToHit(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	SpawnPctBonus	Soft	Heart	BodyPart	Killable	Switch	Restore	NeverCount	HitClass	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	DeadCollision	UnflatDead	BloodLocal	DeathDamage	PetIgnore	NoGfxHitTest	HitTestTop	HitTestLeft	HitTestWidth	HitTestHeight
Afflicted	Afflicted	BigHead		3	1	1	BH	0	0	3	3	3	3	6	6	0	12	37	62	0	2	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	88		0		0		0		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	2	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	70	0	0	0	0	0	85	0	75	0	0	0	85	0	0	2	0	0	1	1	1	0	0	1	0	0	96	0	17	33	45	112	11	6	9	19	0	0	31	0	0	0	96	186	150	850	23	34	98	0	0	163	0	0	0	265	515	271	4162	45	67	233	0	0	389	0	0	0	1	72	82	90	1	72	89	93	1	72	89	93	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Tainted	Tainted	BigHead		3	1	1	BH	0	0	3	3	3	3	6	6	0	11	36	61	0	2	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	86		0		0		0		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	3	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	60	0	0	0	0	0	80	0	75	0	0	0	80	0	0	2	0	0	1	1	1	0	0	1	0	0	96	0	16	31	41	104	10	5	8	17	0	0	29	0	0	0	94	182	146	795	23	33	95	0	0	159	0	0	0	261	507	267	3927	45	66	230	0	0	383	0	0	0	1	72	82	90	1	72	89	93	1	72	89	93	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Misshapen	Misshapen	BigHead		3	1	1	BH	0	0	3	3	3	3	5	5	0	5	30	55	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	80		0		0		0		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	4	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	40	0	0	0	0	0	70	0	0	0	0	0	70	0	0	2	0	0	1	1	1	0	0	1	0	0	96	0	8	16	19	56	5	3	4	8	0	0	14	0	0	0	78	152	122	530	19	28	80	0	0	133	0	0	0	235	457	241	2768	40	60	207	0	0	345	0	0	0	1	71	81	90	1	71	89	93	1	71	89	93	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Disfigured	Disfigured	BigHead		3	1	1	BH	0	0	3	3	3	3	5	5	0	8	33	58	0	1	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	83		0		0		0		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	5	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	50	0	0	0	0	0	75	0	0	0	0	0	75	0	0	2	0	0	1	1	1	0	0	1	0	0	96	0	12	23	30	80	8	4	6	13	0	0	21	0	0	0	86	167	134	649	21	31	87	0	0	146	0	0	0	248	482	254	3297	43	63	218	0	0	364	0	0	0	1	71	81	90	1	71	89	93	1	71	89	93	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Damned	Damned	BigHead		3	1	0	BH	0	0	3	3	3	3	7	7	1	27	52	77	0	3	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	hth	90		0		0		0		0		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	6	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	80	0	0	0	0	0	100	0	0	0	0	0	100	0	0	2	0	0	1	1	1	0	0	1	0	0	96	0	36	70	101	470	22	12	18	41	0	0	69	0	0	0	134	261	211	2346	32	48	137	0	0	229	0	0	0	329	639	337	9976	56	83	290	0	0	483	0	0	0	1	79	89	94	1	79	89	94	1	79	89	94	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FoulCrow	FoulCrow	BloodHawk		4	1	1	BK	0	0	2	2	2	2	4	4	1	4	29	54	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	88	0	2	5	3	22	5	1	2	8	0	0	0	0	0	0	24	51	24	221	9	18	95	0	0	0	0	0	0	75	156	47	1169	19	40	251	0	0	0	0	0	0	1	70	80	90	1	70	89	93	1	70	89	93	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BloodHawk	BloodHawk	BloodHawk		4	1	1	BK	0	0	2	2	2	2	4	4	1	6	31	56	0	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	88	0	3	6	5	29	7	2	3	12	0	0	0	0	0	0	26	55	25	254	9	20	101	0	0	0	0	0	0	78	162	49	1313	20	41	260	0	0	0	0	0	0	1	71	81	90	1	71	89	93	1	71	89	93	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BlackRaptor	BlackRaptor	BloodHawk		4	1	0	BK	0	0	2	2	2	2	5	5	1	16	41	66	0	3	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	60	0	0	0	0	0	80	0	0	0	0	0	80	2	0	0	0	0	0	0	1	0	0	0	88	0	7	15	12	74	17	4	7	31	0	0	0	0	0	0	34	72	33	499	12	26	134	0	0	0	0	0	0	91	191	58	2351	23	48	306	0	0	0	0	0	0	1	74	84	91	1	74	89	93	1	74	89	93	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CloudStalker	CloudStalker	BloodHawk		4	1	0	BK	0	0	2	2	2	2	6	6	1	22	47	72	0	4	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	30	0	20	60	0	0	40	0	50	80	0	0	50	0	50	100	0	0	2	0	0	0	0	0	0	1	0	0	0	88	0	10	20	17	130	22	5	10	42	0	0	0	0	0	0	39	82	38	749	14	29	153	0	0	0	0	0	0	100	208	63	3336	25	53	334	0	0	0	0	0	0	1	76	86	92	1	76	89	93	1	76	89	93	0	1	xxx	xxx	1	1	1	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Fallen	Fallen	Fallen		5	1	1	FA	0	0	2	2	1	1	5	5	1	1	26	51	0	2	3	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	6	0	hth	30		40		10		50		0		1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	2	0	0	1	0	0	1	0	1	0	0	64	0	1	3	5	18	9	1	2	3	1	2	3	0	0	0	22	58	142	299	11	22	85	10	23	85	0	0	0	71	186	299	1621	24	49	237	23	52	237	0	0	0	1	70	90	0	1	70	93	75	1	70	93	75	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Carver	Carver	Fallen		5	1	1	FA	0	0	2	2	1	1	5	5	1	5	30	55	0	2	4	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	6	0	hth	45		35		15		60		0		1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	2	0	0	1	0	0	1	0	1	0	0	64	0	3	7	25	42	16	2	4	10	2	4	10	0	0	0	25	67	163	392	12	25	98	12	26	98	0	0	0	76	201	322	2047	26	53	255	25	56	255	0	0	0	1	71	90	0	1	71	93	76	1	71	93	76	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Devilkin	Devilkin	Fallen		5	1	1	FA	0	0	2	2	1	1	6	6	1	7	32	57	0	3	4	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	6	0	hth	55		30		20		70		0		1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	2	0	0	1	0	0	1	0	1	0	0	64	0	3	9	35	53	25	2	5	14	2	5	14	0	0	0	27	71	174	448	13	26	105	12	28	105	0	0	0	79	208	334	2300	27	55	265	25	58	265	0	0	0	1	71	90	0	1	71	93	76	1	71	93	76	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DarkOne	DarkOne	Fallen		5	1	1	FA	0	0	2	2	1	1	6	6	1	10	35	60	0	3	5	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	6	0	hth	65		25		25		80		0		1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	2	0	0	1	0	0	1	0	1	0	0	64	0	5	12	50	71	36	3	7	19	3	7	19	0	0	0	29	78	191	549	14	29	114	13	31	114	0	0	0	83	219	352	2739	29	57	278	27	61	278	0	0	0	1	72	90	0	1	72	93	76	1	72	93	76	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
